rowname	s_11.69_CTRL_Mixed	s_12.78	s_12.78_14.4	s_12.78_PLA11.5_NAWM	s_12002_CTRL	s_13.15_PA_15.5	s_13.15_MRI13	s_13.15_MRI13_NAWM	s_13.47_PLA4_CA	s_13.47_PLA8_C1	s_13.47_PCA8_CA	s_13.47_PLA4_cone	s_13.47_PLA13.8_cone	s_14.43_CTRL_WM	s_486_64M_WM	s_486_WM_Front.	s_487_59M_WM	s_9.34_PLA1	s_9.34_MRI2	s_9.34_PLA1_NAWM	s_9.67_MRI13_CA	s_9.67_PLA61	s_9.67_MRI13_WM	s_C101_WM	s_C101_WM_Temp.
serotonin	-0.49558098360869857	0.13657155141166494	-0.3947899251743969	-0.7415119710453661	0.0016808660982932909	-0.5654577447106225	-0.3921842037840178	-0.7234150246281887	-0.5821577876027658	-0.8306655170746418	-0.5178854032779033	2.4346192141485785	2.5617864045082026	-0.45440119985003974	0.018499900874006794	-0.0016045192709161773	-0.7421100487374176	2.4551878391971687	0.6806801204037283	-0.5010852625821639	-0.5686907591939014	0.19799587011845182	-0.46683252474104386	-0.11995683436976451	-0.38869205710824867
stachydrine	-0.8871740853912963	1.071031967599386	1.0493075329495931	0.9626817386524675	0.1904888332025404	0.41502172978103385	0.3983973789236229	0.4373591060118521	-1.2594766668468136	-1.1150554846375371	-1.10959915868319	-0.8433250433528616	-0.8235398311393625	-0.5208052169984814	-0.21947571219117915	-0.10325545437211163	1.4050702901457381	1.5702568926813152	1.5626895951846882	1.7582836816109457	-1.209267356972357	-1.1357507247069225	-0.7895505283280014	-0.28692646835896357	-0.5173870147641062
guaiacol_sulfate	0.21695714119708387	1.9400827293018172	2.078288291932706	1.949582672203908	0.5871572704034942	-0.9313162828554045	-0.84491188055784	-0.8046433533275683	-0.6290662668118071	-0.6225246815003483	-0.6579773220474375	-0.35436961483009904	-0.601493791159632	-0.2387413890616856	0.6632261694476889	0.7510209774346147	0.5942038405436005	0.6428898338902865	0.6169676162971879	0.6858235700854138	-1.0624209252359151	-1.1214802474220376	-1.003600943357322	-0.8961590652014628	-0.9574943493692364
hippurate	-0.8180258832340613	1.4450523386985805	1.3865218325052018	1.1963525811108011	1.005688103271453	-0.5319541206516599	-0.6017667879186512	-0.533164097090358	-0.9287040457627799	-0.9182778753574707	-0.8675765951639695	-0.7976339872636105	-0.7302118960582057	-0.9404500454365411	1.2525394291534924	1.3275977189085337	0.3764387041211702	0.9552017945318939	1.3307865382106814	1.3814686134857683	-0.6246350932308081	-0.6163283485592792	-0.6824064281954615	-1.0358247349415253	-1.030687715133197
x1_methyl_5_imidazoleacetate	0.8340351248821759	1.2386529578795915	1.1199726393631846	1.1576270423517454	-0.5370782353793301	-0.617185282822569	-0.8285299661094282	-0.5806760431293401	-0.6710188660533574	-0.7291073694673819	-0.6669714408602258	-0.636681495587274	-0.8470831201108404	0.34574005990052076	1.8725780714223763	1.7491603957916328	0.7364095871850455	0.7148241944900169	0.5027918782305474	1.1185710486806186	-0.9679080367650641	-1.274792482996163	-1.0677558137947645	-0.8149587317151239	-1.1506161153865975
imidazole_propionate	-1.4022629478100805	1.976534959012225	1.6401456910770484	1.4796850073867351	1.7368194707326845	-0.8501350055755739	-0.7376458808660075	-0.8851281154370254	-0.4821372724939307	-0.4816648929211511	-0.8928387404645686	-0.44854668958334504	-0.8956731144721202	-0.0524812929534993	1.495806827142965	1.3566077147341626	-0.7411562705601383	-0.38006987487754984	-0.7773619342508986	0.4124760367694267	-0.055356756545972136	-0.19926378695459426	-0.012669242829915708	-0.4228132136707914	-0.3808706745880859
threonylphenylalanine	-0.09530196231758742	-0.2804694329528054	-0.6800686683877627	-0.4981217850466284	-1.2659193449393669	0.6439736373077785	0.4718135561282998	-0.2845832030727903	-1.0377817824104518	-0.33545393291465647	-0.08294815126788495	-0.6687377111378751	0.6209855834226725	-1.7410884564810336	-0.04055026713858488	-0.22516337845440945	-0.4019660430092747	0.22337434132037076	0.2086025779902426	0.00995308485186455	2.4286947429624046	2.153608752369833	2.065116524371068	-0.5401158415957372	-0.647852839597686
quinate	0.5591712827130813	1.6868574303222528	2.007642945220305	0.8644066024485197	0.003504162060009578	-0.5072440684453516	-0.4029700241369878	-0.24883108186696976	0.21759211190165384	-1.5543506179821018	0.26142723348256575	-1.1288252579830982	-1.4405808074819393	-0.5209572885607523	-0.18331967605703087	-0.15713528162868332	1.006229390603318	0.938998716464246	0.9492624092072578	1.1240071717010234	0.6795837680918947	-1.2649562849228206	-1.4277216574018	-0.46254117973146225	-0.9992499980171242
trizma_acetate	-0.4685675851661844	-0.990433460938855	-1.030073857803071	-0.5142087074463553	-0.1904057739437907	0.765917129882764	-0.7960672729555932	-0.6897809164506103	2.1125588703809495	3.331172552039828	0.4253148835466026	0.47437233321068395	0.027451451610500333	1.067897656961497	-0.2806732551465741	-0.6899919767561901	-0.8714929983877545	-0.5294040267538199	-0.8700292246032714	-0.250124317252816	-0.06364202433127251	-0.1723299586625598	-0.19594177182431147	0.38530476146559006	0.013177489324625124
trimethylamine_n_oxide	-0.24913455965865497	1.5405243271808817	1.6623695761933923	1.4863345914752577	0.5915395380847243	-0.421897798895251	-0.5071715345476354	-0.47170966657087077	-0.8679504857072687	-0.9776878589813469	-0.8059792687390792	-0.907585226185959	-0.9417852702319268	-0.3913202623075817	1.4176827470925248	1.4131535942539497	0.12200856756409871	0.7944281477425076	1.03127014647056	0.9834013231019174	-1.1497194055826538	-1.3239201017063273	-0.9853379773901939	-0.3080632060983378	-0.7334499365567329
